年级,目标,现状
高二,4000,3963
高三,4950,2949
初三,3750,435
初二,3600,423
初一,2350,377
高一,390,357
一年级,700,40
三年级,1580,22
四年级,2050,6
六年级,1760,0
五年级,1660,0
二年级,100,0
